video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=tHbVJ-zjp1c&pp=ygUGbGF5b2Zm,/@Necrit,Necrit,The Layoffs Just Got Worse,161K,1 day,"Join in to get unique emotes, badge and spoilers for future videos: ...",2024-01-29 07:49:23.759819
/watch?v=Io4TPL4g_T8&pp=ygUGbGF5b2Zm,/@YongYea,YongYea,"Microsoft Shut Down & Lay Off Xbox Physical Games Departments, May Indiciate All Digital Future",48K,8 hours,PATREON: http://www.patreon.com/yongyea TWITTER: http://www.twitter.com/yongyea INSTAGRAM: ...,2024-01-29 07:49:23.763616
/watch?v=u6rDt1qlUAY&pp=ygUGbGF5b2Zm,/@BellularClips,Bellular Clips,Let's Talk About The Microsoft Layoffs,4.9K,14 hours,"Purchase our debut game, The Pale Beyond: bit.ly/TPB_Steam My Links: Bento.me/Bellular.",2024-01-29 07:49:23.766649
/watch?v=6PSJL3eKRhM&pp=ygUGbGF5b2Zm,/@ALifeAfterLayoff,A Life After Layoff,Are Remote Workers More Likely To Be Laid Off?,34K,1 day,"Are Remote Workers More Likely To Be Laid Off? The data is in, and yes, you are 35% more likely to be targeted in a downsizing.",2024-01-29 07:49:23.771067
/watch?v=C2XkVGNGtt8&pp=ygUGbGF5b2Zm,/@abc7news,ABC7 News Bay Area,"San Jose-based eBay plans to lay off about 1,000 employees, company says",10K,5 days,#ebay #layoff #tech #sanjose #siliconvalley #jobs #abc7news.,2024-01-29 07:49:23.774140
/watch?v=SYouMt_KB0g&pp=ygUGbGF5b2Zm,/@DestinL,Destin,"2024 Has Kicked off With 1,900 Xbox Layoffs",4.5K,Streamed 10 hours,"This last week has not been great for Xbox. Xbox has laid off 1900 employees. In addition, a lot of other news has been coming ...",2024-01-29 07:49:23.776958
/watch?v=xBBvt9yLcMY&pp=ygUGbGF5b2Zm,/@cbssf,KPIX | CBS NEWS BAY AREA,Continued tech layoffs take toll on Bay Area workforce,16K,3 days,Jose Martinez spoke with a tech worker who lost her job in a previous layoff cycle to learn how her view of the industry and her life ...,2024-01-29 07:49:23.779599
/watch?v=Yl6CquUOaJg&pp=ygUGbGF5b2Zm,/@DestinL,Destin,"1,900 Xbox and Activision Blizzard Layoffs Announced Today",18K,3 days,"A huge set of Xbox Layoffs for 2024 have been announced as part of a 1900 Microsoft layoff plan that will impact Xbox, Activision ...",2024-01-29 07:49:23.782463
/watch?v=HDPdfgvdKFw&pp=ygUGbGF5b2Zm,/@TheTestingAcademy,The Testing Academy,This Is Very Dangerous - Tech layoffs 2024,4.3K,2 days,"In the ever-evolving world of technology and innovation, the landscape of employment can be unpredictable. Join us in this video ...",2024-01-29 07:49:23.785653
/watch?v=uxDsP_yqglM&pp=ygUGbGF5b2Zm,/@Raxxanterax,Raxxanterax,"Microsoft Laid Off 1,900 Activision, Blizzard and Xbox Employees",44K,3 days,"microsoft #activision #blizzard #xbox Microsoft Laid Off 1900 Activision, Blizzard and Xbox Employees and Cancelled the New ...",2024-01-29 07:49:23.788761
/watch?v=lcvH0TvBlLg&pp=ygUGbGF5b2Zm,/@YahooFinance,Yahoo Finance,"Tech layoffs and the economy: 'There's still a lot of hiring out there,' professor says",9.5K,2 days,"Betsey Stevenson, The Ford School, University of Michigan Professor of Public Policy and Economics spoke with Yahoo Finance ...",2024-01-29 07:49:23.792096
/watch?v=w5pcry5oPLY&pp=ygUGbGF5b2Zm,/@paul_tassi,Paul Tassi,"Trying To Process 1,900 Xbox And Activision Blizzard Layoffs From $3 Trillion Valued Microsoft",23K,3 days,"The Xbox gaming division was hit with an 8% workforce reduction today, almost two thousand people. While a larger industry ...",2024-01-29 07:49:23.794781
